Date Published,Product Title,Advisory Title,Category,Post Link
23 November 2021,pantene pro v shampoo silky smooth with foreign markings,FDA Advisory No.2021-2845 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO SILKY & SMOOTH (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2845-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-silky-smooth-with-foreign-markings/
23 November 2021,pantene pro v shampoo anti hair breakage with foreign markings,FDA Advisory No.2021-2844 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO ANTI HAIR BREAKAGE (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2844-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-anti-hair-breakage-with-foreign-markings/
23 November 2021,pantene pro v shampoo milky treatment with foreign markings,FDA Advisory No.2021-2843 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO MILKY TREATMENT (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2843-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-milky-treatment-with-foreign-markings/
23 November 2021,neem oil plant spray 500 milliliter,FDA Advisory No.2021-2842 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) NEEM OIL PLANT SPRAY 500 ML,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2842-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-neem-oil-plant-spray-500-ml/
23 November 2021,petite lael lip pouch lp02,FDA Advisory No.2021-2840 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PETITE LAEL LIP POUCH (LP02),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2840-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-petite-lael-lip-pouch-lp02/
17 November 2021,natures infinity sun cream shea butter spf 50,FDA Advisory No.2021-2773 || SUBJECT: Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic NATURE’S INFINITY SUN CREAM SHEA BUTTER SPF 50+,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2773-subjectpublic-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-natures-infinity-sun-cream-shea-butter-spf-50/
,,,,
17 November 2021,natures infinity noni keratin shampoo,FDA Advisory No.2021-2771 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic NATURE’S INFINITY NONI KERATIN SHAMPOO,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2771-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-natures-infinity-noni-keratin-shampoo/
,,,,
17 November 2021,breylee acne clearing soap bar,FDA Advisory No.2021-2769 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic BREYLEE ACNE CLEARING SOAP BAR,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2769-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-breylee-acne-clearing-soap-bar/
17 November 2021,theodores pest control cockroach spray,FDA Advisory No.2021-2768 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) THEODORE’S PEST CONTROL COCKROACH SPRAY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2768-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-theodores-pest-control-cockroach-spray/
17 November 2021,sun universe wawang high quality mosquito coil green,FDA Advisory No.2021-2767 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) SUN UNIVERSE WAWANG HIGH QUALITY MOSQUITO COIL (GREEN),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2767-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-sun-universe-wawang-high-quality-mosquito-coil-green/
17 November 2021,liptint by lovely cosmetic variants arllah meriel ella crisha ara,"FDA Advisory No.2021-2766 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LIPTINT BY LOVELY COSMETIC (VARIANTS: ARLLAH, MERIEL, ELLA, CRISHA & ARA)",Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2766-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-liptint-by-lovely-cosmetic-variants-arllah-meriel-ella-crisha-ara/
17 November 2021,gluta white firm pressed powder variants natural white powder pink blush,FDA Advisory No.2021-2765 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic GLUTA WHITE & FIRM PRESSED POWDER (VARIANTS: NATURAL WHITE & POWDER PINK BLUSH),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2765-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-gluta-white-firm-pressed-powder-variants-natural-white-powder-pink-blush/
17 November 2021,kylie love beauty stay matte foundation concealer 2 in1 bb,FDA Advisory No.2021-2764 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic KYLIE LOVE BEAUTY STAY MATTE FOUNDATION & CONCEALER 2-IN1 BB,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2764-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-kylie-love-beauty-stay-matte-foundation-concealer-2-in1-bb/
17 November 2021,lcoamaxy make up pure all purpose bb cream bright 04,FDA Advisory No.2021-2763 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LCOAMAXY MAKE UP PURE ALL PURPOSE BB CREAM BRIGHT 04,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2763-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-lcoamaxy-make-up-pure-all-purpose-bb-cream-bright-04/
17 November 2021,lcoamaxy make up color change blemish balm tinted moisturizer primer spf15 01,FDA Advisory No.2021-2762 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LCOAMAXY MAKE UP COLOR CHANGE BLEMISH BALM TINTED MOISTURIZER PRIMER SPF15 01,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2762-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-lcoamaxy-make-up-color-change-blemish-balm-tinted-moisturizer-primer-spf15-01/
17 November 2021,iman of noble foundation bb long lasting matte make up,FDA Advisory No.2021-2761 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic IMAN OF NOBLE FOUNDATION BB LONG LASTING MATTE MAKE-UP,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2761-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-iman-of-noble-foundation-bb-long-lasting-matte-make-up/
